40.2	-74.85	0.5
40.2	-74.75	0.5
40.2	-74.8	0.5
40.15	-74.8	0.5
40.25	-74.7	0.5
40.3	-74.7	0.5
40.25	-74.8	0.5
40.25	-74.75	0.5
40.1	-74.9	0.5
40.45	-74.3	0.5
40.65	-74.0	0.5
40.8	-73.95	0.5
40.8	-73.9	0.5
40.7	-74.0	0.5
41.9	-87.7	0.5
41.85	-87.75	0.5
41.85	-87.7	0.5
42.05	-88.05	0.5
41.75	-87.9	0.5
38.15	-84.9	0.5
38.15	-84.95	0.5
39.1	-84.5	0.5
40.05	-83.0	0.5
39.95	-83.05	0.5
39.8	-83.15	0.5
39.5	-83.85	0.5
39.35	-84.2	0.5
38.5	-84.6	0.5
38.35	-84.6	0.5
38.15	-84.65	0.5
43.8	-79.25	0.5
43.75	-79.35	0.5
43.75	-79.45	0.5
43.8	-79.35	0.5
43.75	-79.4	0.5
37.5	-77.5	0.5
37.5	-77.45	0.5
37.55	-77.5	0.5
37.45	-77.55	0.5
37.45	-77.6	0.5
38.15	-79.05	0.5
41.5	-95.9	0.5
41.55	-95.95	0.5
41.5	-95.95	0.5
41.25	-95.8	0.5
41.35	-95.9	0.5
34.2	-118.65	0.5
30.35	-91.15	0.5
30.4	-91.1	0.5
30.4	-91.15	0.5
30.35	-91.1	0.5
41.2	-85.9	0.5
41.2	-85.85	0.5
41.25	-85.85	0.5
41.25	-85.9	0.5
41.4	-86.4	0.5
33.55	-84.3	0.5
33.55	-84.35	0.5
33.75	-84.45	0.5
33.6	-84.3	0.5
33.6	-84.4	0.5
39.65	-79.9	0.5
36.3	-86.45	0.5
36.35	-86.5	0.5
36.35	-86.45	0.5
36.3	-86.7	0.5
36.2	-86.8	0.5
36.1	-86.8	0.5
26.15	-80.15	0.5
26.35	-80.1	0.5
26.25	-80.1	0.5
26.1	-80.15	0.5
25.95	-80.25	0.5
25.75	-80.2	0.5
26.1	-80.2	0.5
26.25	-80.15	0.5
33.9	-117.35	0.5
33.9	-117.2	0.5
33.9	-117.25	0.5
33.85	-117.35	0.5
33.9	-117.3	0.5
33.9	-117.15	0.5
38.9	-77.05	0.5
38.7	-77.15	0.5
37.25	-77.4	0.5
37.15	-77.35	0.5
37.2	-77.4	0.5
40.6	-73.95	0.5
29.65	-95.65	0.5
29.5	-95.55	0.5
29.65	-95.7	0.5
29.65	-95.6	0.5
29.55	-95.6	0.5
29.6	-95.55	0.5
29.45	-95.45	0.5
29.7	-95.65	0.5
29.5	-95.5	0.5
29.5	-95.4	0.5
29.55	-95.4	0.5
29.55	-95.65	0.5
32.3	-90.25	0.5
33.15	-87.6	0.5
33.2	-87.55	0.5
33.2	-87.6	0.5
33.15	-87.3	0.5
26.2	-80.2	0.5
39.95	-75.3	0.5
40.6	-74.05	0.5
40.6	-74.0	0.5
25.6	-80.4	0.5
25.55	-80.4	0.5
25.6	-80.35	0.5
25.65	-80.45	0.5
41.45	-81.55	0.5
41.45	-81.6	0.5
41.5	-81.45	0.5
41.3	-81.4	0.5
41.15	-73.2	0.5
41.2	-73.2	0.5
41.15	-73.15	0.5
33.75	-84.4	0.5
30.05	-96.05	0.5
41.35	-83.65	0.5
41.55	-83.7	0.5
41.4	-83.65	0.5
41.55	-81.6	0.5
41.5	-81.6	0.5
41.65	-81.4	0.5
41.55	-81.55	0.5
41.4	-81.85	0.5
33.6	-84.45	0.5
33.85	-84.5	0.5
38.8	-77.1	0.5
38.85	-77.25	0.5
38.75	-77.15	0.5
38.8	-77.15	0.5
38.9	-77.15	0.5
38.85	-77.05	0.5
38.85	-77.1	0.5
40.7	-74.05	0.5
39.0	-77.1	0.5
26.2	-80.25	0.5
26.0	-80.2	0.5
25.9	-80.25	0.5
40.75	-73.6	0.5
43.75	-79.25	0.5
43.75	-79.3	0.5
